#MPHA.GSTICS.IEEETimeStr	MPQ	MASS	cal
1993-012T20:52:49.400	16.881	19.430	
1993-012T20:37:48.000	9.7320	19.420	
1993-033T21:20:51.900	14.721	19.420	
1993-012T16:57:41.600	14.721	19.420	
1993-012T17:36:00.300	14.721	19.420	
1993-012T17:13:01.100	14.721	19.420	
1993-012T18:01:00.500	14.721	19.420	
1993-012T17:13:01.100	14.721	19.420	
1993-033T20:40:55.100	14.721	19.420	
1993-012T17:02:07.800	14.721	19.420	
1993-012T17:19:52.500	14.721	19.420	
1993-012T20:54:26.100	14.721	19.420	
1993-033T20:56:15.000	14.721	19.420	
1993-012T17:02:07.800	14.721	19.420	
1993-012T21:16:37.100	14.721	19.420	
1993-012T17:35:08.900	8.1730	19.410	
1993-033T20:48:29.000	9.9010	19.410	
1993-012T20:29:44.000	5.7240	19.400	
1993-033T20:17:06.700	8.6200	19.400	
1993-012T16:53:12.500	14.928	19.380	
1993-012T16:52:48.300	14.928	19.380	
1993-012T17:22:41.800	18.745	19.380	
1993-012T17:19:52.500	13.571	19.370	
1993-012T17:39:56.100	18.587	19.370	
1993-012T17:10:35.900	13.571	19.370	
1993-012T20:39:30.800	13.075	19.370	
1993-012T17:00:24.900	15.704	19.370	
1993-012T20:32:15.200	7.6400	19.370	
1993-033T21:28:07.600	13.571	19.370	
1993-012T20:12:05.300	13.075	19.370	
1993-012T17:37:37.100	13.571	19.370	
1993-012T17:38:01.300	13.075	19.370	
1993-033T21:28:07.600	16.054	19.360	
1993-012T21:04:07.000	16.054	19.360	
1993-012T17:27:56.300	16.054	19.360	
1993-012T17:13:49.500	16.054	19.360	
1993-033T20:16:42.500	16.054	19.360	
1993-012T17:45:16.800	16.054	19.360	
1993-012T20:35:53.000	16.054	19.360	
1993-012T16:58:05.800	16.054	19.360	
1993-012T20:13:17.800	16.054	19.360	
1993-012T17:31:10.000	16.054	19.360	
1993-033T20:44:57.200	16.054	19.360	
1993-033T20:14:17.300	16.054	19.360	
1993-012T17:24:42.800	16.054	19.360	
1993-012T17:06:09.800	16.054	19.360	
1993-012T21:00:29.200	16.054	19.360	
1993-033T21:28:31.800	16.054	19.360	
1993-012T16:57:17.500	16.054	19.360	
1993-012T20:40:19.200	16.054	19.360	
1993-012T20:48:47.300	16.054	19.360	
1993-012T20:37:05.600	16.054	19.360	
1993-012T16:52:51.300	16.054	19.360	
1993-012T20:30:14.200	16.054	19.360	
1993-012T21:21:03.300	16.054	19.360	
1993-012T16:54:28.100	16.054	19.360	
1993-012T16:53:39.600	16.054	19.360	
1993-012T20:47:34.800	16.054	19.360	
1993-012T17:28:20.600	16.054	19.360	
1993-012T17:00:55.200	16.054	19.360	
1993-012T17:33:10.900	16.054	19.360	
1993-033T20:07:50.000	16.054	19.360	
1993-012T16:58:30.000	16.054	19.360	
1993-012T21:10:10.000	16.054	19.360	
1993-012T17:35:36.100	16.054	19.360	
1993-012T16:54:03.800	16.054	19.360	
1993-033T20:23:58.300	16.054	19.360	
1993-033T20:09:26.800	16.054	19.360	
1993-012T17:19:52.500	16.054	19.360	
1993-012T20:52:49.400	17.729	19.350	
1993-012T17:08:32.000	16.106	19.340	
1993-033T21:21:37.200	16.106	19.340	
1993-012T17:10:11.700	7.9280	19.340	
1993-033T20:15:48.000	7.8200	19.340	
1993-033T21:09:55.100	16.106	19.340	
1993-033T20:58:40.300	7.9280	19.340	
1993-012T18:23:32.600	16.106	19.340	
1993-033T20:25:35.100	7.9280	19.340	
1993-033T21:01:51.000	16.106	19.340	
1993-012T17:01:19.400	7.9280	19.340	
1993-012T20:18:05.200	16.106	19.340	
1993-012T20:36:14.200	16.106	19.340	
1993-012T20:21:21.800	10.421	19.340	
1993-012T16:55:37.600	16.106	19.340	
1993-012T17:34:20.500	16.106	19.340	
1993-012T17:20:37.800	16.106	19.340	
1993-012T20:36:41.400	5.5310	19.340	
1993-033T20:10:12.200	12.253	19.340	
1993-012T20:32:36.500	16.106	19.340	
1993-012T18:09:01.400	16.106	19.340	
1993-012T20:36:14.200	16.106	19.340	
1993-012T16:56:50.300	16.106	19.340	
1993-012T16:53:36.600	16.106	19.340	
1993-012T17:19:25.300	16.106	19.340	
1993-012T20:22:55.600	16.106	19.340	
1993-033T21:13:08.800	16.106	19.340	
1993-012T20:22:31.400	11.372	19.340	
1993-012T20:54:23.100	16.106	19.340	
1993-012T20:24:32.400	16.106	19.340	
1993-012T20:33:49.000	16.106	19.340	
1993-033T20:53:22.500	16.106	19.340	
1993-033T20:18:13.300	19.287	19.340	
1993-012T17:12:09.700	16.106	19.340	
1993-033T20:03:41.800	13.454	19.340	
1993-033T21:03:52.000	16.106	19.340	
1993-012T17:00:52.200	16.106	19.340	
1993-012T16:55:13.500	16.106	19.340	
1993-012T17:05:18.300	16.106	19.340	
1993-012T17:31:31.100	16.106	19.340	
1993-033T20:10:12.200	16.106	19.340	
1993-012T17:34:41.600	9.0710	19.330	
1993-012T20:26:36.400	8.4190	19.330	
1993-012T18:13:00.300	20.482	19.330	
1993-033T20:29:34.200	7.6890	19.310	
1993-033T20:05:42.900	15.917	19.310	
1993-012T16:48:46.300	17.507	19.300	
1993-012T21:06:53.300	17.507	19.300	
1993-012T20:47:07.500	17.507	19.300	
1993-012T17:46:02.100	17.507	19.300	
1993-012T21:20:39.100	14.077	19.290	
1993-012T16:54:25.100	15.260	19.290	
1993-012T17:37:34.100	15.260	19.290	
1993-012T17:10:11.700	14.077	19.290	
1993-012T16:49:13.500	14.077	19.290	
1993-012T17:13:46.500	15.260	19.290	
1993-012T17:32:19.500	15.260	19.290	
1993-012T17:26:40.800	15.260	19.290	
1993-012T17:08:32.000	15.260	19.290	
1993-012T20:41:56.000	14.077	19.290	
1993-033T21:21:16.100	14.077	19.290	
1993-012T17:25:31.200	14.077	19.290	
1993-012T18:08:16.000	5.4500	19.280	
1993-012T20:33:49.000	5.6910	19.280	
1993-012T20:35:50.000	18.596	19.250	
1993-033T20:41:40.500	18.596	19.250	
1993-012T20:52:46.300	16.974	19.240	
1993-012T17:24:39.800	16.974	19.240	
1993-012T17:12:55.000	16.132	19.240	
1993-033T20:33:57.500	16.132	19.240	
1993-012T17:56:07.000	16.974	19.240	
1993-012T20:37:26.800	16.974	19.240	
1993-012T20:14:27.500	16.974	19.240	
1993-033T20:19:07.800	8.2210	19.230	
1993-012T19:56:21.500	8.2210	19.230	
1993-033T20:18:19.300	8.2210	19.230	
1993-033T20:17:49.100	8.1240	19.230	
1993-012T17:52:26.300	17.226	19.230	
1993-033T21:01:54.000	8.2210	19.230	
1993-012T17:32:22.500	8.2210	19.230	
1993-012T20:21:18.800	8.4210	19.220	
1993-012T17:29:06.000	8.4210	19.220	
1993-012T18:01:21.600	8.4210	19.220	
1993-012T20:10:22.400	13.064	19.220	
1993-012T20:51:06.500	7.6700	19.180	
1993-012T17:33:32.100	11.956	19.180	
1993-012T17:29:57.300	7.7360	19.180	
1993-012T20:33:00.600	15.595	19.160	
1993-012T17:19:01.000	15.595	19.160	
1993-012T16:51:59.900	15.595	19.160	
1993-012T17:07:19.300	15.595	19.160	
1993-012T17:25:28.200	15.595	19.160	
1993-012T20:37:51.000	15.595	19.160	
1993-012T17:27:29.100	15.595	19.160	
1993-012T17:46:23.300	16.348	19.160	
1993-012T20:58:46.300	16.348	19.160	
1993-012T21:03:12.500	16.348	19.160	
1993-033T20:23:58.300	10.090	19.160	
1993-012T20:39:27.800	15.595	19.160	
1993-012T20:19:42.000	15.595	19.160	
1993-033T20:21:05.800	15.595	19.160	
1993-033T20:17:27.900	15.595	19.160	
1993-012T21:14:05.800	7.8200	19.150	
1993-012T20:20:09.300	15.247	19.150	
1993-012T17:10:57.100	16.450	19.150	
1993-012T17:42:51.600	15.247	19.150	
1993-033T20:19:32.000	15.247	19.150	
1993-012T17:17:27.300	15.247	19.150	
1993-033T20:14:38.500	16.450	19.150	
1993-033T20:53:22.500	16.450	19.150	
1993-012T20:18:53.600	16.450	19.150	
1993-012T17:50:31.300	15.247	19.150	
1993-012T17:06:09.800	15.247	19.150	
1993-012T20:30:11.200	16.450	19.150	
1993-012T17:24:15.600	16.450	19.150	
1993-012T16:50:50.300	15.247	19.150	
1993-012T20:20:09.300	15.247	19.150	
1993-033T20:11:03.600	15.247	19.150	
1993-012T21:01:41.800	15.247	19.150	
1993-012T17:43:40.000	15.247	19.150	
1993-012T17:43:12.800	16.450	19.150	
1993-012T20:20:54.600	16.450	19.150	
1993-012T20:40:43.400	15.247	19.150	
1993-033T20:17:52.100	16.450	19.150	
1993-012T20:33:03.600	15.247	19.150	
1993-012T16:55:16.500	15.247	19.150	
1993-012T17:52:05.100	16.450	19.150	
1993-033T20:14:41.500	15.247	19.150	
1993-012T21:02:27.100	16.450	19.150	
1993-033T21:08:21.300	15.247	19.150	
1993-012T17:08:32.000	16.450	19.150	
1993-012T16:51:59.900	16.450	19.150	
1993-012T20:52:25.100	15.247	19.150	
1993-012T21:04:55.400	15.247	19.150	
1993-012T17:34:44.700	16.450	19.150	
1993-012T17:08:56.100	16.450	19.150	
1993-012T20:34:16.200	15.247	19.150	
1993-012T20:27:21.800	16.450	19.150	
1993-012T20:44:18.100	16.450	19.150	
1993-012T17:54:09.100	15.247	19.150	
1993-012T21:04:55.400	15.247	19.150	
1993-033T21:15:37.100	15.247	19.150	
1993-012T17:33:32.100	16.450	19.150	
1993-012T17:00:06.800	15.247	19.150	
1993-033T21:30:08.600	16.742	19.140	
1993-012T19:51:52.300	19.152	19.140	
1993-033T21:18:02.400	16.742	19.140	
1993-033T21:18:02.400	16.742	19.140	
1993-012T17:11:24.300	16.742	19.140	
1993-033T21:30:08.600	16.742	19.140	
1993-012T21:17:01.300	16.742	19.140	
1993-012T17:52:56.500	16.742	19.140	
1993-012T17:38:22.500	8.2970	19.140	
1993-012T17:27:32.100	16.742	19.140	
1993-012T17:16:38.800	16.742	19.140	
1993-012T20:45:33.800	16.742	19.140	
1993-012T21:06:32.200	16.742	19.140	
1993-012T19:50:18.500	12.111	19.140	
1993-012T16:54:03.800	16.742	19.140	
1993-012T21:17:49.800	16.742	19.140	
1993-012T17:21:53.400	16.742	19.140	
1993-012T17:02:32.000	16.742	19.140	
1993-033T20:28:42.800	10.071	19.120	
1993-012T21:24:38.000	14.114	19.120	
1993-012T17:00:00.700	21.713	19.120	
1993-012T20:34:13.200	14.114	19.120	
1993-012T17:41:39.000	14.591	19.120	
1993-012T20:43:08.600	14.591	19.120	
1993-012T17:43:40.000	14.591	19.120	
1993-012T20:24:11.200	8.0250	19.110	
1993-033T20:11:03.600	8.0250	19.110	
1993-012T20:34:16.200	8.0250	19.110	
1993-012T17:17:51.500	18.598	19.110	
1993-033T21:32:09.700	18.598	19.110	
1993-012T18:12:18.000	8.0250	19.110	
1993-012T20:16:07.300	8.0250	19.110	
1993-012T20:28:34.400	14.436	19.090	
1993-012T20:32:36.500	14.436	19.090	
1993-033T20:29:13.000	8.7210	19.090	
1993-012T17:27:08.000	8.7210	19.090	
1993-012T20:38:42.400	5.9420	19.080	
1993-012T17:06:58.100	15.918	19.070	
1993-012T20:37:54.000	15.918	19.070	
1993-033T20:50:36.100	15.918	19.070	
1993-012T21:03:18.600	15.918	19.070	
1993-012T17:22:17.600	15.918	19.070	
1993-033T20:17:31.000	15.918	19.070	
1993-012T20:51:36.800	17.586	19.070	
1993-012T17:42:03.200	15.918	19.070	
1993-012T17:08:10.800	15.918	19.070	
1993-012T17:07:46.500	15.918	19.070	
1993-012T17:08:35.000	15.918	19.070	
1993-033T20:27:33.100	6.5420	19.070	
1993-012T21:10:10.000	15.918	19.070	
1993-012T17:15:26.300	15.918	19.070	
1993-033T21:10:46.600	15.918	19.070	
1993-012T16:53:15.500	15.918	19.070	
1993-012T20:38:18.200	15.918	19.070	
1993-012T20:16:55.600	15.918	19.070	
1993-012T20:28:13.200	15.918	19.070	
1993-012T17:17:27.300	15.918	19.070	
1993-012T20:21:46.000	15.918	19.070	
1993-033T21:01:05.500	15.918	19.070	
1993-012T20:43:32.800	15.918	19.070	
1993-033T21:02:18.200	15.918	19.070	
1993-012T17:48:54.500	15.918	19.070	
1993-012T17:30:21.500	15.918	19.070	
1993-012T20:26:36.400	15.918	19.070	
1993-012T20:41:07.600	17.586	19.070	
1993-012T17:11:00.100	15.918	19.070	
1993-012T17:22:17.600	15.918	19.070	
1993-033T20:14:17.300	15.918	19.070	
1993-012T17:31:10.000	15.918	19.070	
1993-012T20:37:54.000	15.918	19.070	
1993-012T20:40:43.400	15.918	19.070	
1993-012T17:21:05.000	15.918	19.070	
1993-012T17:38:01.300	15.918	19.070	
1993-012T20:38:36.300	16.565	19.060	
1993-012T21:23:04.300	13.447	19.060	
1993-033T20:04:06.000	16.565	19.060	
1993-012T20:34:58.500	16.565	19.060	
1993-012T20:23:41.000	16.565	19.060	
1993-012T20:36:59.500	16.565	19.060	
1993-012T17:07:46.500	12.953	19.060	
1993-012T16:48:46.300	8.1730	19.060	
1993-012T20:12:23.400	16.565	19.060	
1993-012T17:37:55.100	16.565	19.060	
1993-033T21:11:29.000	16.565	19.060	
1993-033T21:20:45.700	16.565	19.060	
1993-033T20:38:05.600	8.5190	19.040	
1993-012T20:22:10.200	8.5190	19.040	
1993-033T20:14:17.300	8.5190	19.040	
1993-012T20:30:59.600	9.7170	19.040	
1993-012T20:31:51.000	8.5190	19.040	
1993-012T17:40:26.500	8.5190	19.040	
1993-012T20:26:09.300	14.763	19.030	
1993-012T20:24:08.200	14.763	19.030	
1993-012T20:20:06.200	15.935	19.000	
1993-012T20:46:43.300	15.935	19.000	
1993-012T17:48:27.300	15.935	19.000	
1993-012T20:41:04.600	15.935	19.000	
1993-012T20:20:57.600	10.310	19.000	
1993-012T20:32:36.500	15.935	19.000	
1993-033T20:52:58.300	15.935	19.000	
1993-033T20:42:53.100	15.935	19.000	
1993-033T21:31:18.300	15.935	19.000	
1993-033T21:10:43.500	15.935	19.000	
1993-033T21:11:32.000	15.935	19.000	
1993-012T20:31:48.000	15.935	19.000	
1993-012T20:24:08.200	15.935	19.000	
1993-012T17:29:30.100	15.935	19.000	
1993-012T17:23:03.000	15.935	19.000	
1993-012T20:24:08.200	15.935	19.000	
1993-012T20:49:32.700	15.935	19.000	
1993-033T21:27:16.200	15.935	19.000	
1993-012T19:53:29.100	15.935	19.000	
1993-033T20:50:57.300	15.935	19.000	
1993-012T18:13:03.400	15.935	19.000	
1993-033T20:45:42.600	15.935	19.000	
1993-012T16:53:36.600	15.935	19.000	
1993-012T17:35:08.900	15.935	19.000	
1993-012T17:29:06.000	15.935	19.000	
1993-012T20:38:15.100	15.935	19.000	
1993-012T16:58:30.000	13.950	18.990	
1993-012T16:55:16.500	13.950	18.990	
1993-033T21:10:22.300	13.950	18.990	
1993-012T20:36:17.200	13.950	18.990	
1993-012T17:15:23.300	22.060	18.990	
1993-012T16:57:41.600	13.950	18.990	
1993-012T20:20:09.300	13.950	18.990	
1993-033T20:43:44.600	13.950	18.990	
1993-012T19:51:52.300	11.662	18.990	
1993-012T17:20:34.700	8.7500	18.990	
1993-012T20:37:54.000	13.950	18.990	
1993-033T21:18:02.400	13.950	18.990	
1993-012T17:12:33.900	8.0510	18.970	
1993-012T17:08:32.000	17.328	18.970	
1993-012T17:17:00.100	8.0510	18.970	
1993-012T17:37:58.300	17.328	18.970	
1993-012T20:26:33.400	17.328	18.970	
1993-012T20:39:03.600	17.328	18.970	
1993-012T17:39:32.000	16.784	18.960	
1993-012T17:09:47.500	7.8320	18.960	
1993-012T17:14:10.700	12.859	18.960	
1993-033T20:23:09.900	7.8320	18.960	
1993-033T21:13:36.000	7.8320	18.960	
1993-033T21:18:02.400	7.8320	18.960	
1993-012T16:51:56.800	16.784	18.960	
1993-012T20:28:13.200	7.8320	18.960	
1993-012T20:27:49.000	7.8320	18.960	
1993-012T17:42:21.300	20.240	18.960	
1993-012T17:59:17.600	15.492	18.960	
1993-033T20:37:59.600	13.454	18.960	
1993-012T20:15:37.000	15.492	18.960	
1993-012T17:02:50.100	16.784	18.960	
1993-012T17:44:25.300	12.859	18.960	
1993-012T20:08:51.600	7.8320	18.960	
1993-033T20:09:51.000	8.3200	18.960	
1993-012T16:52:02.900	7.8320	18.960	
1993-033T21:04:19.200	6.3680	18.960	
1993-012T17:13:46.500	15.093	18.940	
1993-033T21:01:26.700	15.093	18.940	
1993-033T20:15:02.800	15.093	18.940	
1993-012T17:37:06.800	8.5910	18.920	
1993-012T17:13:22.300	16.799	18.910	
1993-012T17:18:39.800	10.869	18.910	
1993-012T17:21:02.000	8.5470	18.910	
1993-012T17:58:29.200	13.258	18.910	
1993-012T17:02:29.000	16.799	18.910	
1993-012T20:45:30.800	16.799	18.910	
1993-012T16:59:39.600	16.799	18.910	
1993-012T17:17:24.300	16.799	18.910	
1993-033T20:53:01.400	10.869	18.910	
1993-012T20:59:13.500	16.799	18.910	
1993-012T17:25:52.400	16.799	18.910	
1993-012T18:02:34.200	8.5470	18.910	
1993-012T17:31:52.200	15.704	18.900	
1993-033T21:18:20.500	15.704	18.900	
1993-012T20:34:34.300	15.704	18.900	
1993-012T17:07:40.500	15.704	18.900	
1993-012T17:45:59.100	15.704	18.900	
1993-033T21:03:00.500	15.704	18.900	
1993-033T20:13:50.100	7.1040	18.890	
1993-033T20:41:43.500	15.115	18.860	
1993-012T17:11:24.300	15.115	18.860	
1993-033T21:14:00.300	15.115	18.860	
1993-012T16:54:52.300	15.115	18.860	
1993-012T17:53:44.900	15.115	18.860	
1993-012T16:57:17.500	15.115	18.860	
1993-033T20:56:15.000	16.603	18.860	
1993-012T20:45:09.600	16.603	18.860	
1993-012T17:14:13.700	15.115	18.860	
1993-012T20:33:52.000	16.603	18.860	
1993-012T16:55:16.500	16.603	18.860	
1993-012T19:41:26.200	16.603	18.860	
1993-012T20:51:12.600	16.603	18.860	
1993-012T20:24:11.200	15.115	18.860	
1993-012T16:49:13.500	16.603	18.860	
1993-012T20:35:28.800	8.1230	18.860	
1993-033T20:18:19.300	15.115	18.860	
1993-012T21:10:58.300	16.603	18.860	
1993-012T20:45:09.600	16.603	18.860	
1993-012T17:09:47.500	16.603	18.860	
1993-012T17:42:51.600	16.603	18.860	
1993-012T20:28:37.400	16.603	18.860	
1993-012T16:49:13.500	8.1230	18.860	
1993-012T16:56:29.000	8.1230	18.860	
1993-012T17:11:00.100	16.603	18.860	
1993-033T20:17:31.000	8.1230	18.860	
1993-012T17:13:49.500	16.603	18.860	
1993-012T17:19:52.500	16.603	18.860	
1993-012T16:56:29.000	8.1230	18.860	
1993-033T21:32:09.700	16.603	18.860	
1993-012T17:11:00.100	16.603	18.860	
1993-012T20:02:00.300	16.603	18.860	
1993-033T20:15:05.800	8.1230	18.860	
1993-012T21:06:08.000	16.603	18.860	
1993-012T17:38:25.500	16.603	18.860	
1993-033T21:26:06.600	16.603	18.860	
1993-012T20:38:18.200	16.603	18.860	
1993-012T20:25:23.800	8.1230	18.860	
1993-012T20:27:24.800	5.3700	18.850	
1993-012T18:06:57.300	13.064	18.850	
1993-012T20:28:34.400	8.4210	18.850	
1993-012T20:36:35.300	15.917	18.840	
1993-033T20:02:29.200	15.917	18.840	
1993-012T17:30:15.500	8.4340	18.840	
1993-012T21:04:00.800	15.917	18.840	
1993-012T17:37:55.100	15.917	18.840	
1993-012T17:01:13.300	17.004	18.840	
1993-012T17:16:57.000	17.004	18.840	
1993-012T19:23:35.300	15.917	18.840	
1993-012T17:39:32.000	15.917	18.840	
1993-033T21:29:14.100	15.917	18.840	
1993-033T21:14:48.600	14.462	18.830	
1993-033T20:53:25.600	14.462	18.830	
1993-033T21:25:18.100	14.462	18.830	
1993-012T20:07:14.900	14.462	18.830	
1993-012T20:52:49.400	14.462	18.830	
1993-012T20:26:36.400	14.462	18.830	
1993-012T20:46:22.100	14.462	18.830	
1993-012T21:01:17.600	14.462	18.830	
1993-012T17:13:01.100	14.462	18.830	
1993-012T16:49:13.500	14.462	18.830	
1993-012T20:30:38.400	11.993	18.830	
1993-012T20:16:31.500	14.462	18.830	
1993-033T21:26:06.600	14.462	18.830	
1993-012T16:51:38.700	14.462	18.830	
1993-033T21:13:36.000	14.462	18.830	
1993-012T17:05:42.600	15.427	18.820	
1993-012T20:43:54.000	15.427	18.820	
1993-012T17:02:04.800	15.427	18.820	
1993-033T20:19:29.000	15.427	18.820	
1993-012T20:49:08.500	15.427	18.820	
1993-012T17:12:58.100	15.427	18.820	
1993-012T20:35:25.800	15.427	18.820	
1993-012T20:16:28.400	15.427	18.820	
1993-012T17:58:56.400	15.427	18.820	
1993-033T20:48:32.000	15.427	18.820	
1993-012T17:30:18.500	15.427	18.820	
1993-033T20:40:27.800	15.427	18.820	
1993-012T17:02:04.800	15.427	18.820	
1993-012T19:57:09.900	9.9820	18.820	
1993-012T20:30:11.200	15.427	18.820	
1993-012T20:33:24.800	15.427	18.820	
1993-012T20:39:27.800	15.427	18.820	
1993-012T20:37:02.600	15.427	18.820	
1993-012T17:26:40.800	16.277	18.810	
1993-012T17:37:34.100	16.277	18.810	
1993-012T20:28:34.400	16.277	18.810	
1993-012T17:41:11.800	16.277	18.810	
1993-012T20:31:48.000	16.277	18.810	
1993-012T20:51:09.500	16.277	18.810	
1993-012T21:00:01.900	16.277	18.810	
1993-012T17:07:19.300	16.277	18.810	
1993-012T20:48:20.100	16.277	18.810	
1993-012T18:03:46.800	16.277	18.810	
1993-033T20:53:22.500	16.277	18.810	
1993-033T20:21:54.200	16.277	18.810	
1993-012T21:09:18.500	16.277	18.810	
1993-012T17:17:48.500	16.277	18.810	
1993-033T20:10:36.500	16.277	18.810	
1993-012T16:52:24.100	16.277	18.810	
1993-012T20:46:43.300	16.277	18.810	
1993-012T20:34:13.200	16.277	18.810	
1993-012T20:25:45.000	16.277	18.810	
1993-012T17:06:31.000	16.277	18.810	
1993-012T16:52:24.100	16.277	18.810	
1993-033T21:29:17.300	16.277	18.810	
1993-033T20:16:15.300	16.277	18.810	
1993-012T17:08:32.000	16.277	18.810	
1993-012T17:06:31.000	16.277	18.810	
1993-012T16:50:20.000	7.6700	18.810	
1993-012T17:13:22.300	16.277	18.810	
1993-012T21:12:32.100	16.277	18.810	
1993-033T21:12:44.600	16.277	18.810	
1993-012T18:01:45.800	16.277	18.810	
1993-012T19:52:16.500	16.277	18.810	
1993-012T20:09:40.100	17.444	18.800	
1993-012T16:50:26.100	17.444	18.800	
1993-012T17:17:03.100	17.444	18.800	
1993-012T17:31:34.100	15.783	18.790	
1993-012T16:59:42.600	15.783	18.790	
1993-012T21:06:08.000	15.783	18.790	
1993-012T17:28:44.800	15.783	18.790	
1993-012T20:33:03.600	15.783	18.790	
1993-033T20:52:13.000	15.783	18.790	
1993-012T17:18:39.800	15.783	18.790	
1993-033T21:32:34.000	15.783	18.790	
1993-012T21:05:43.800	15.783	18.790	
1993-033T21:34:10.800	15.783	18.790	
1993-012T17:44:28.300	15.783	18.790	
1993-033T21:09:09.700	15.783	18.790	
1993-012T17:10:35.900	15.783	18.790	
1993-012T17:18:15.600	15.783	18.790	
1993-012T17:29:09.000	15.783	18.790	
1993-012T20:33:03.600	15.783	18.790	
1993-012T20:36:41.400	15.783	18.790	
1993-012T20:42:20.200	15.783	18.790	
1993-033T20:27:12.000	15.783	18.790	
1993-012T21:17:49.800	15.783	18.790	
1993-033T20:18:19.300	15.783	18.790	
1993-012T20:31:02.600	15.783	18.790	
1993-012T17:31:58.300	15.783	18.790	
1993-012T17:21:53.400	15.783	18.790	
1993-012T21:03:18.600	15.783	18.790	
1993-012T20:42:20.200	15.783	18.790	
1993-012T20:34:16.200	15.783	18.790	
1993-012T17:15:26.300	15.783	18.790	
1993-012T17:11:48.500	15.783	18.790	
1993-033T20:15:48.000	17.900	18.790	
1993-012T21:12:59.300	15.783	18.790	
1993-012T17:29:57.300	15.783	18.790	
1993-012T17:46:29.300	15.783	18.790	
1993-012T17:06:27.800	8.7500	18.770	
1993-033T20:59:01.500	7.8090	18.770	
1993-012T16:52:45.100	16.132	18.760	
1993-012T20:33:49.000	13.636	18.760	
1993-012T21:14:08.800	13.636	18.760	
1993-033T21:04:16.200	13.954	18.760	
1993-012T16:49:31.600	16.132	18.760	
1993-012T20:58:49.300	13.636	18.760	
1993-033T20:56:09.000	16.132	18.760	
1993-012T17:10:05.600	16.132	18.760	
1993-012T16:52:21.000	16.132	18.760	
1993-012T20:23:22.800	8.8230	18.760	
1993-033T21:30:26.800	16.132	18.760	
1993-012T17:24:15.600	13.636	18.760	
1993-012T16:51:11.500	13.954	18.760	
1993-012T17:15:47.500	13.954	18.760	
1993-012T17:19:22.100	16.132	18.760	
1993-012T20:30:59.600	13.954	18.760	
1993-012T17:24:42.800	12.831	18.750	
1993-012T17:26:19.600	7.9280	18.740	
1993-012T16:56:01.800	14.275	18.740	
1993-033T20:44:33.000	7.9280	18.740	
1993-012T16:53:12.500	14.275	18.740	
1993-033T20:26:23.600	7.9280	18.740	
1993-033T21:35:20.400	14.275	18.740	
1993-033T20:47:46.600	7.9280	18.740	
1993-012T17:51:19.700	7.9280	18.740	
1993-033T21:29:20.300	7.9280	18.740	
1993-012T21:17:01.300	8.6200	18.730	
1993-012T20:22:52.600	17.226	18.710	
1993-012T19:48:11.500	12.679	18.710	
1993-012T17:48:27.300	8.1730	18.710	
1993-012T17:27:26.100	8.5910	18.710	
1993-012T17:36:00.300	13.823	18.690	
1993-012T20:57:15.500	13.823	18.690	
1993-012T19:51:55.300	13.823	18.690	
1993-033T20:36:22.700	9.3990	18.690	
1993-012T16:55:16.500	8.4190	18.680	
1993-012T17:10:32.900	14.599	18.680	
1993-033T20:31:32.200	22.980	18.680	
1993-012T17:51:19.700	8.4190	18.680	
1993-012T17:50:07.100	8.4190	18.680	
1993-012T17:29:33.100	12.349	18.670	
1993-012T20:08:21.400	16.348	18.670	
1993-012T21:11:43.600	15.764	18.670	
1993-012T20:21:40.000	16.348	18.670	
1993-012T17:06:06.800	15.764	18.670	
1993-012T20:26:30.400	16.348	18.670	
1993-012T17:20:34.700	16.348	18.670	
1993-012T16:51:11.500	15.764	18.670	
1993-012T21:18:35.000	15.764	18.670	
1993-012T16:49:34.700	15.764	18.670	
1993-033T20:05:21.700	15.764	18.670	
1993-012T20:15:15.800	15.764	18.670	
1993-012T20:14:24.400	16.348	18.670	
1993-012T20:25:42.000	16.348	18.670	
1993-012T20:14:48.600	16.348	18.670	
1993-033T20:23:06.800	15.764	18.670	
1993-012T20:58:22.100	16.348	18.670	
1993-012T20:41:04.600	15.764	18.670	
1993-012T17:10:29.800	9.2340	18.670	
1993-012T21:23:01.200	15.764	18.670	
1993-033T20:48:32.000	15.764	18.670	
1993-012T17:34:20.500	15.764	18.670	
1993-012T21:01:14.500	15.764	18.670	
1993-012T20:51:33.700	6.2160	18.670	
1993-012T17:06:06.800	15.764	18.670	
1993-012T17:44:49.500	15.764	18.670	
1993-012T20:53:07.500	16.348	18.670	
1993-033T21:10:19.300	15.764	18.670	
1993-012T16:57:14.500	15.764	18.670	
1993-012T20:38:15.100	15.764	18.670	
1993-012T20:38:15.100	15.764	18.670	
1993-012T21:23:25.400	15.764	18.670	
1993-012T17:25:04.000	15.764	18.670	
1993-012T20:26:33.400	15.764	18.670	
1993-012T17:14:10.700	15.764	18.670	
1993-012T17:24:15.600	15.764	18.670	
1993-012T20:24:56.600	15.764	18.670	
1993-033T20:32:23.600	15.764	18.670	
1993-012T20:24:32.400	15.764	18.670	
1993-012T20:57:36.700	15.764	18.670	
1993-012T17:43:12.800	15.764	18.670	
1993-012T17:27:29.100	15.764	18.670	
1993-012T17:21:23.100	16.348	18.670	
1993-012T16:58:51.200	15.764	18.670	
1993-012T17:11:42.400	30.738	18.670	
