#MPHA.GSTICS.IEEETimeStr	MPQ	MASS	cal
1993-012T17:51:16.700	16.974	64.500	
1993-033T20:48:35.100	9.7660	64.460	
1993-033T20:11:00.600	49.657	64.400	
1993-033T21:00:14.100	14.928	64.320	
1993-012T19:48:11.500	27.556	63.990	
1993-012T18:02:37.200	19.638	63.980	
1993-012T20:14:03.200	23.695	63.970	
1993-012T19:55:05.900	24.534	63.830	
1993-012T20:01:11.900	10.200	63.570	
1993-033T21:09:34.000	5.3700	63.380	
1993-033T20:32:02.500	24.582	63.180	
1993-012T19:53:29.100	16.974	63.130	
1993-033T20:31:08.000	59.111	62.980	
1993-012T20:22:07.200	23.487	62.900	
1993-033T20:25:32.100	24.323	62.780	
1993-033T21:26:55.000	21.644	62.780	
1993-012T18:11:02.400	22.666	62.760	
1993-033T21:25:15.100	6.4320	62.710	
1993-033T21:15:55.200	11.019	62.510	
1993-033T20:32:23.600	39.948	62.260	
1993-012T21:18:10.800	8.1730	62.220	
1993-012T18:15:52.800	19.340	62.060	
1993-033T20:08:38.400	19.788	61.780	
1993-012T20:09:12.800	10.820	61.720	
1993-033T20:21:08.800	22.764	61.650	
1993-012T19:56:18.500	46.400	61.390	
1993-012T20:28:58.600	42.694	61.280	
1993-033T20:29:10.000	25.388	61.050	
1993-012T16:59:36.500	7.9710	60.990	
1993-033T20:33:15.100	7.4520	60.920	
1993-033T20:25:29.100	25.893	60.880	
1993-033T20:18:37.500	25.893	60.880	
1993-012T20:18:29.500	10.944	60.840	
1993-012T18:23:53.800	17.226	60.840	
1993-033T20:44:05.800	22.666	60.760	
1993-012T17:18:36.800	22.666	60.760	
1993-033T20:15:27.000	23.903	60.710	
1993-012T18:09:25.600	5.5880	60.460	
1993-033T20:23:09.900	20.092	60.450	
1993-033T20:42:04.700	7.8090	60.370	
1993-012T17:48:54.500	16.603	60.210	
1993-033T20:15:54.100	21.802	60.090	
1993-033T20:53:22.500	22.870	59.780	
1993-033T20:17:27.900	22.463	59.730	
1993-012T20:13:39.000	24.534	59.360	
1993-012T20:34:58.500	18.128	59.330	
1993-012T17:58:32.200	27.811	59.280	
1993-033T20:32:50.900	8.0250	58.790	
1993-012T20:06:23.500	22.666	58.780	
1993-033T20:25:10.900	22.927	58.680	
1993-012T17:42:45.500	25.621	58.450	
1993-012T18:11:47.800	25.621	58.450	
1993-012T17:58:56.400	32.989	58.350	
1993-012T17:56:34.300	9.2360	58.260	
1993-012T18:11:05.400	29.896	58.160	
1993-012T20:22:28.400	28.981	58.100	
1993-033T20:59:25.700	22.870	57.790	
1993-012T20:11:38.000	22.060	57.710	
1993-012T18:16:17.000	22.060	57.710	
1993-033T21:11:10.800	21.329	57.530	
1993-012T18:15:01.300	25.350	57.330	
1993-012T17:51:37.800	25.621	57.210	
1993-012T16:51:14.500	16.881	57.210	
1993-012T17:56:34.300	25.090	57.060	
1993-012T18:23:53.800	26.167	56.880	
1993-012T20:05:32.000	26.167	56.880	
1993-012T20:25:20.800	24.959	56.840	
1993-033T20:24:43.700	22.666	56.820	
1993-012T17:56:55.500	22.666	56.820	
1993-012T17:49:15.700	22.666	56.820	
1993-012T17:51:16.700	18.966	56.760	
1993-012T20:27:43.000	13.652	56.740	
1993-012T20:31:26.800	21.172	56.700	
1993-012T18:23:05.400	28.121	56.350	
1993-012T17:23:54.400	19.338	56.070	
1993-012T20:26:57.600	22.463	55.860	
1993-033T20:26:47.800	20.398	55.820	
1993-012T20:11:38.000	23.280	55.710	
1993-033T20:20:41.600	8.1730	55.320	
1993-012T17:39:13.800	19.188	55.230	
1993-012T16:59:12.300	8.1240	55.210	
1993-012T17:43:58.100	28.981	55.170	
1993-012T18:16:17.000	25.603	55.060	
1993-033T20:31:38.300	20.244	55.000	
1993-012T17:07:43.500	27.362	54.920	
1993-012T17:18:58.000	25.350	54.900	
1993-012T20:08:48.600	21.860	54.890	
1993-033T20:16:15.300	22.666	54.880	
1993-012T18:16:41.100	22.666	54.880	
1993-012T20:14:27.500	22.666	54.880	
1993-012T20:04:22.500	22.666	54.880	
1993-033T20:51:45.700	22.666	54.880	
1993-033T20:36:50.000	6.2160	54.790	
1993-012T20:03:09.800	13.794	54.790	
1993-012T17:11:18.200	14.866	54.720	
1993-033T20:35:40.400	11.412	54.580	
1993-033T20:11:21.800	25.893	54.560	
1993-033T20:17:49.100	25.893	54.560	
1993-012T21:16:31.100	6.9430	54.530	
1993-033T20:48:35.100	16.465	54.520	
1993-033T21:01:26.700	13.479	54.460	
1993-033T21:08:45.500	19.040	54.400	
1993-033T20:40:49.000	15.282	54.280	
1993-012T17:42:24.300	33.729	54.150	
1993-012T20:37:29.800	14.204	53.960	
1993-012T19:45:49.400	21.660	53.950	
1993-033T20:56:12.000	13.954	53.930	
1993-012T17:40:47.600	22.870	53.870	
1993-033T20:33:33.300	10.415	53.810	
1993-012T17:41:36.000	20.872	53.720	
1993-033T21:03:52.000	10.944	53.540	
1993-033T21:35:17.300	7.2290	53.510	
1993-012T19:54:41.600	35.744	53.390	
1993-012T20:16:52.600	47.572	53.370	
1993-012T18:09:25.600	6.0030	53.360	
1993-033T20:46:03.800	27.275	53.280	
1993-012T20:03:12.900	9.8730	53.100	
1993-033T20:36:28.800	21.802	53.100	
1993-033T21:08:21.300	6.1960	53.020	
1993-012T18:04:35.200	22.666	52.970	
1993-012T21:00:50.300	13.012	52.940	
1993-012T18:00:36.200	26.122	52.820	
1993-012T19:56:15.500	24.814	52.810	
1993-012T17:16:11.600	15.764	52.810	
1993-012T20:17:13.800	24.814	52.810	
1993-012T19:57:52.200	32.547	52.790	
1993-012T18:26:43.200	27.838	52.590	
1993-033T20:47:40.600	16.784	52.550	
1993-033T20:30:25.600	6.1110	52.360	
1993-033T20:27:12.000	19.188	52.360	
1993-012T18:06:09.000	53.875	52.340	
1993-033T20:28:42.800	53.875	52.340	
1993-033T20:29:55.400	13.454	52.250	
1993-012T17:52:53.500	22.463	52.080	
1993-012T19:55:05.900	20.872	52.020	
1993-012T17:31:03.800	14.252	52.020	
1993-012T18:22:41.100	57.474	51.970	
1993-033T21:34:59.200	5.7760	51.860	
1993-012T17:28:14.500	17.449	51.850	
1993-012T20:42:44.400	19.638	51.820	
1993-012T20:01:57.300	18.047	51.790	
1993-012T20:28:07.100	36.644	51.750	
1993-033T20:42:53.100	17.507	51.620	
1993-012T20:31:02.600	19.040	51.570	
1993-012T18:00:36.200	14.983	51.490	
1993-033T20:41:37.500	14.050	51.310	
1993-033T21:31:21.300	5.3700	51.180	
1993-012T20:22:55.600	20.678	51.120	
1993-033T20:31:11.000	16.277	51.110	
1993-012T17:54:27.200	51.540	51.090	
1993-033T20:26:44.700	22.666	51.080	
1993-033T20:45:42.600	22.666	51.080	
1993-012T17:43:09.700	23.496	51.040	
1993-012T18:00:33.200	10.944	50.710	
1993-012T16:49:34.700	6.8760	50.710	
1993-012T18:26:19.000	54.665	50.430	
1993-012T18:13:51.800	21.660	50.400	
1993-012T20:49:53.900	11.019	50.350	
1993-012T17:57:22.600	19.338	50.290	
1993-012T16:49:13.500	8.2210	49.910	
1993-012T20:01:54.200	23.757	49.900	
1993-012T18:04:56.400	23.757	49.900	
1993-033T20:29:37.200	9.9820	49.680	
1993-012T19:46:34.700	24.282	49.680	
1993-012T18:23:08.500	21.068	49.530	
1993-033T20:18:37.500	24.547	49.530	
1993-012T20:19:42.000	29.411	49.280	
1993-012T18:00:33.200	27.139	49.220	
1993-012T20:08:48.600	19.908	49.200	
1993-033T20:08:59.600	27.811	49.110	
1993-033T21:24:50.800	8.0510	48.830	
1993-033T20:22:21.500	10.532	48.730	
1993-033T20:43:38.500	24.019	48.720	
1993-033T20:25:07.900	21.265	48.690	
1993-012T18:11:50.800	21.265	48.690	
1993-033T20:45:21.400	24.080	48.670	
1993-012T18:14:13.000	57.474	48.340	
1993-033T20:45:45.600	18.892	48.070	
1993-033T20:32:50.900	6.8090	48.050	
1993-012T20:40:16.100	12.253	47.630	
1993-033T20:45:45.600	16.054	47.600	
1993-033T20:57:03.500	17.302	47.600	
1993-012T17:42:51.600	14.077	47.580	
1993-012T17:07:16.200	19.052	47.410	
1993-033T20:21:30.000	22.666	47.370	
1993-012T20:05:59.300	9.3180	47.170	
1993-012T20:02:24.500	9.1320	47.150	
1993-012T19:55:02.800	21.713	47.130	
1993-033T20:31:14.100	8.9250	47.130	
1993-012T19:45:22.100	22.468	47.120	
1993-012T20:20:03.200	22.980	47.020	
1993-012T17:45:59.100	22.980	47.020	
1993-012T20:11:13.800	20.099	46.940	
1993-012T17:08:59.100	16.327	46.940	
1993-012T17:18:36.800	21.660	46.920	
1993-012T17:29:06.000	19.718	46.820	
1993-012T20:03:06.800	33.161	46.210	
1993-012T19:51:25.000	23.237	45.920	
1993-012T17:31:10.000	22.441	45.700	
1993-012T20:51:30.700	27.275	45.560	
1993-012T18:01:00.500	16.054	45.470	
1993-033T20:44:30.000	21.265	45.350	
1993-012T20:12:26.500	31.773	45.260	
1993-012T18:15:49.700	22.215	45.240	
1993-012T17:22:41.800	18.306	45.240	
1993-033T20:38:29.800	15.247	45.150	
1993-012T19:49:48.300	22.723	45.120	
1993-033T20:07:50.000	30.832	45.090	
1993-033T20:37:59.600	22.980	45.030	
1993-033T20:57:45.800	14.866	44.930	
1993-012T19:52:37.600	23.237	44.920	
1993-033T20:15:05.800	23.090	44.790	
1993-033T20:44:08.800	19.940	44.600	
1993-012T17:53:38.800	13.064	44.460	
1993-012T20:05:32.000	21.713	44.360	
1993-012T18:01:24.600	6.1960	44.290	
1993-012T20:14:48.600	22.468	44.230	
1993-012T20:36:41.400	19.188	44.070	
1993-033T20:11:27.800	21.172	43.830	
1993-012T17:52:02.000	21.464	43.470	
1993-012T17:42:45.500	21.963	43.410	
1993-012T17:54:30.300	23.075	43.400	
1993-012T16:53:57.800	20.482	43.390	
1993-012T19:59:56.300	19.528	43.070	
1993-012T17:28:14.500	11.378	43.040	
1993-033T20:53:01.400	18.892	42.780	
1993-012T17:11:24.300	18.306	42.740	
1993-033T20:24:40.600	11.378	42.650	
1993-012T19:57:28.000	25.893	42.640	
1993-033T20:25:05.000	10.590	42.560	
1993-033T20:21:57.300	17.729	42.560	
1993-012T18:15:49.700	22.468	42.330	
1993-012T20:05:10.800	20.484	42.330	
1993-033T20:14:14.300	19.340	42.320	
1993-033T20:52:37.100	18.745	42.140	
1993-012T17:43:15.800	21.486	41.980	
1993-012T17:52:56.500	16.603	41.840	
1993-033T20:22:15.400	20.725	41.740	
1993-012T18:21:04.300	21.216	41.730	
1993-012T17:50:49.500	21.464	41.700	
1993-012T18:27:34.600	19.908	41.640	
1993-012T17:29:30.100	19.528	41.630	
